x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m)
    1,  100,      0.0033,      0.6637,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  101,      0.0033,      0.6703,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  102,      0.0033,      0.6770,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  103,      0.0033,      0.6837,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  104,      0.0033,      0.6903,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  105,      0.0033,      0.6970,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  106,      0.0033,      0.7037,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  107,      0.0033,      0.7104,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  108,      0.0033,      0.7170,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  109,      0.0033,      0.7237,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  110,      0.0033,      0.7304,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  111,      0.0033,      0.7370,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  112,      0.0033,      0.7437,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  113,      0.0033,      0.7504,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  114,      0.0033,      0.7570,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  115,      0.0033,      0.7637,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  116,      0.0033,      0.7704,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  117,      0.0033,      0.7771,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  118,      0.0033,      0.7837,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
